rating,ranking,year,position,height,weight,latitude,longitude,state_province,stars,committed_to,is_drafted,conference,latitude_school,longitude_school,school,season,wins_rolling_2year,games_played_rolling_2year,post_season_wins_rolling_2year,point_diff_rolling_2year,win_pct_rolling_2year
0.9644,71.0,2012,DT,76.0,290.0,35.3340108,-81.8651028,NC,4,Clemson,1.0,ACC,34.6787737,-82.8432428,Clemson,2012.0,16.0,27.0,0.0,128.0,0.8461538461538461
0.9632,79.0,2012,WR,71.0,175.0,35.2272,-80.843083,NC,4,Clemson,0.0,ACC,34.6787737,-82.8432428,Clemson,2012.0,16.0,27.0,0.0,128.0,0.8461538461538461
0.9567,92.0,2012,S,73.0,195.0,30.4380832,-84.2809332,FL,4,Clemson,0.0,ACC,34.6787737,-82.8432428,Clemson,2012.0,16.0,27.0,0.0,128.0,0.8461538461538461
0.9264,187.0,2012,DUAL,75.0,205.0,42.8867166,-78.8783922,NY,4,Clemson,1.0,ACC,34.6787737,-82.8432428,Clemson,2012.0,16.0,27.0,0.0,128.0,0.8461538461538461
0.9133,231.0,2012,ATH,73.0,180.0,35.8428646,-90.7034522,AR,4,Clemson,1.0,ACC,34.6787737,-82.8432428,Clemson,2012.0,16.0,27.0,0.0,128.0,0.8461538461538461
0.9051,283.0,2012,ATH,74.0,185.0,33.5598586,-81.721952,SC,4,Clemson,1.0,ACC,34.6787737,-82.8432428,Clemson,2012.0,16.0,27.0,0.0,128.0,0.8461538461538461
0.9036,292.0,2012,SDE,75.0,240.0,33.2971012,-81.0348202,SC,4,Clemson,0.0,ACC,34.6787737,-82.8432428,Clemson,2012.0,16.0,27.0,0.0,128.0,0.8461538461538461
0.9033,294.0,2012,S,73.0,190.0,32.9585379,-81.2372124,SC,4,Clemson,0.0,ACC,34.6787737,-82.8432428,Clemson,2012.0,16.0,27.0,0.0,128.0,0.8461538461538461
0.8944,346.0,2012,WDE,76.0,255.0,34.7257424,-82.7804999,SC,4,Clemson,1.0,ACC,34.6787737,-82.8432428,Clemson,2012.0,16.0,27.0,0.0,128.0,0.8461538461538461
0.8903,373.0,2012,OG,75.0,330.0,36.0726355,-79.7919754,NC,4,Clemson,1.0,ACC,34.6787737,-82.8432428,Clemson,2012.0,16.0,27.0,0.0,128.0,0.8461538461538461
