,name,athlete_id,committed_to,side_of_ball,position_group,state_province,hometown_country,height,weight,distance_miles,k_means_cluster,k_means_pca1,k_means_pca2,k_means_distance_to_centroid
7676,Marques Moore,3125868.0,Kent State,defense,linebacker,OH,USA,74.0,2000.0,41.2603568277707,2,27.761461042916487,2.4180105509283627,38.50715817845926
16279,Marquez Ezzard,4362505.0,Miami,athlete,athlete,,USA,73.0,213.0,7833.0784740360195,0,-1.7493932097702296,13.244702567537258,10.515736425297566
18059,Brandon Joseph,,Georgia State,offense,o_line,,USA,74.0,280.0,7242.867348451115,0,-0.31796918801625945,12.327960515457125,9.548723231454831
21015,Jack Zergiotis,4428977.0,UConn,offense,qb,,USA,72.0,180.0,7016.742208700858,0,-2.391424458206737,11.693002726006934,9.099981684699596
16665,Arquon Bush,4360067.0,Cincinnati,defense,d_backfield,,USA,71.0,167.0,6916.389684351429,0,-2.855189957290848,11.463678610058288,8.991996496178745
17420,Darnell Shields,,Cincinnati,defense,d_backfield,,USA,72.0,180.0,6916.389684351429,0,-2.37282279658675,11.512605891753921,8.919948656196704
4829,Cleon Aloese,550678.0,Ohio,defense,d_line,AS,USA,73.0,290.0,6766.346827533721,0,-0.3543768196784555,11.4630211730945,8.74324653867157
18578,Cole Burnison,,Buffalo,offense,pass_catcher,,USA,75.0,225.0,6816.7866303300725,0,-0.8139637483517894,11.49092846636449,8.687274740455743
4924,Jerry Saena,545354.0,SMU,offense,o_line,AS,USA,77.0,265.0,5854.564065532388,0,0.5468191275954097,9.883772355829034,7.128536253381614
17256,JH Tevis,,California,defense,d_line,,USA,77.0,227.0,5609.058965617893,0,0.0014594817569505373,9.375372862608184,6.614097239515928
3530,Daniel Ekuale,550627.0,Washington State,defense,d_line,AS,USA,77.0,285.0,5360.036591475883,0,0.9494690681317614,9.030095287153001,6.354011329921973
3502,Daniel Etuale,,Washington State,defense,d_line,AS,USA,77.0,285.0,5360.036591475883,0,0.9494690681317614,9.030095287153001,6.354011329921973
1949,Destiny Vaeao,-1042344.0,Washington State,defense,d_line,AS,USA,76.0,293.0,5360.036591475883,0,0.793633807861717,9.018234029174161,6.333091852196565
10968,Frederick Mauigoa,4055181.0,Washington State,offense,o_line,AS,USA,76.0,290.0,5360.036591475883,0,0.7469863935139952,9.012938882928905,6.31558443986898
1955,Robert Barber,534864.0,Washington State,defense,d_line,AS,USA,75.0,290.0,5360.036591475883,0,0.4667580283166923,8.986957234962714,6.274341740183092
9746,Amosa Sakaria,-1042299.0,Washington State,offense,o_line,AS,USA,75.0,280.0,5360.036591475883,0,0.31126664715761926,8.969306747478528,6.220354416256483
4177,Emmitt Su'a-Kalio,-1042395.0,Washington State,defense,d_line,AS,USA,76.0,250.0,5360.036591475883,0,0.12502086887770297,8.942336932992154,6.146172224756135
9178,Logan Tago,3884234.0,Washington State,defense,linebacker,AS,USA,75.0,230.0,5360.036591475883,0,-0.46619025863774605,8.88105431005759,6.065282401156137
6230,Frank Luvu,,Washington State,defense,linebacker,AS,USA,74.0,215.0,5360.036591475883,0,-0.9796556955736585,8.828596930865118,6.04077433855039
6258,Frankie Luvu,3127273.0,Washington State,defense,linebacker,AS,USA,74.0,215.0,5360.036591475883,0,-0.9796556955736585,8.828596930865118,6.04077433855039
8761,Elu Aydon,3930268.0,Oregon State,defense,d_line,AS,USA,74.0,315.0,5036.406375247617,0,0.6352472374797213,8.423334014067681,5.8784195444451885
23742,Sky Lactaoen,,Navy,offense,running_back,HI,USA,69.0,175.0,4863.156469019608,0,-2.910659773622616,7.734879503158394,5.5694671244579625
4236,Fred Lauina,552120.0,Oregon State,offense,o_line,AS,USA,75.0,260.0,5036.406375247617,0,0.060273006302122595,8.352237980870838,5.559977990489559
20281,Eddie Siaumau,,Arizona,defense,d_backfield,AS,USA,74.0,210.0,5089.133577258749,0,-1.0071859457846508,8.332787961788878,5.552775082864861
3956,Diocemy Saint Juste,547172.0,Hawai'i,offense,running_back,FL,USA,69.0,185.0,4847.46301984703,0,-2.752259405040942,7.72431895591678,5.511378002344737
21155,Darrellson Masaniai,,Navy,offense,o_line,HI,USA,74.0,305.0,4855.552069447497,0,0.5132795830113422,8.080574173940148,5.493374161873952
4338,Malo Feula,-1038672.0,UNLV,defense,linebacker,AS,USA,72.0,220.0,5024.758471633476,0,-1.4002185216360024,8.18275245144765,5.485618664316168
20527,Lokahi Pauole,4428202.0,UCF,offense,o_line,HI,USA,75.0,320.0,4749.350486427969,0,1.0464308815998964,7.942120268203985,5.46468580006944
1381,Ne'quan Phillips,,Hawai'i,defense,d_backfield,FL,USA,70.0,175.0,4854.713315972605,0,-2.628866358846299,7.745683475319544,5.429437455890469
7294,Darrian Josey,-1012913.0,Hawai'i,offense,pass_catcher,FL,USA,71.0,155.0,4849.182353626316,0,-2.658595519276132,7.726421517535407,5.413789527152626
15902,Kalepo Naotala,,Hawai'i,defense,d_line,VA,USA,75.0,280.0,4887.478089348068,0,0.3988615871874409,8.119820814405541,5.394869375701223
12297,Keoni-Kordell Makekau,4259215.0,Navy,offense,pass_catcher,HI,USA,71.0,170.0,4855.552069447497,0,-2.426539158228053,7.764347649005047,5.351734974780524
4630,Keith Kirkwood,547197.0,Hawai'i,offense,pass_catcher,NJ,USA,75.0,210.0,4963.594718329389,0,-0.7036873002520783,8.133097033271236,5.344915864994417
6668,Aaron Glover,,Hawai'i,defense,linebacker,VA,USA,72.0,200.0,4913.89341685533,0,-1.6906509864122201,7.948156988962196,5.298387738936562
23799,Mana Fonoimoana,,Navy,defense,d_backfield,HI,USA,71.0,180.0,4845.4907718342265,0,-2.2691827830902698,7.763911633437338,5.296525691449664
6725,Nick Nelson,3124574.0,Hawai'i,defense,d_backfield,MD,USA,71.0,182.0,4835.755998512901,0,-2.2362800384562447,7.749942198154881,5.273051529910894
17522,Aaron Faumui,4370786.0,Virginia,defense,d_line,HI,USA,75.0,285.0,4773.139777012145,0,0.4978013893258194,7.923107934289265,5.2277069277443555
4028,Jeremiah Taleni,546673.0,Pittsburgh,defense,d_line,HI,USA,74.0,315.0,4643.483411853786,0,0.7080806819312472,7.7170034144033615,5.226077978510055
11516,McKenzie Milton,4042113.0,UCF,athlete,athlete,HI,USA,71.0,160.0,4754.38906612345,0,-2.5632786448185043,7.564843384931839,5.224813663676858
17546,Micah Mariteragi,4370802.0,Virginia,offense,o_line,HI,USA,77.0,265.0,4752.930319293463,0,0.7510214464662408,7.903441102418748,5.2123571415499095
7472,Marquis Fairchild,-1012896.0,Hawai'i,defense,d_line,FL,USA,76.0,225.0,4853.199579425288,0,-0.1697586708683593,7.987104660408863,5.198456620294986
